20190416-cam20exp2,00145,0.710,0.185,0.865,0.609,2,0
cam20-xfr-2,00593,0.856,0.238,0.997,0.638,2,0
rUYsoIIE37A,1573,0.226,0.343,0.374,0.768,3,598
20191024-cam20exp1,00181,0.719,0.016,0.837,0.355,3,0
cam20-xfr-2,00642,0.789,0.212,0.935,0.645,2,0
cam20-p2p-2,01031,0.677,0.126,0.812,0.450,1,0
cam20-p2p-1,00106,0.807,0.122,0.945,0.512,1,0
jI0HIlSsa3s,1646,0.096,0.118,0.661,0.922,3,325
Ksd1JQFHYWA,1034,0.615,0.055,0.861,0.846,3,190
cam20-xfr-2,00130,0.495,0.269,0.669,0.826,2,0
cam20-p2p-1,00137,0.865,0.252,0.999,0.532,3,0
20191024-cam20exp2,00200,0.719,0.043,0.897,0.394,3,0
20191024-cam20exp2,00288,0.574,0.122,0.722,0.577,3,0
20191024-cam20exp2,00238,0.686,0.000,0.858,0.326,3,0
20190416-cam20exp1,00133,0.373,0.000,0.510,0.353,3,0
20191024-cam20exp1,00310,0.547,0.053,0.681,0.545,3,0
9mLYmkonWZQ,1453,0.666,0.013,0.996,1.000,3,143
cam20-xfr-2,00334,0.573,0.080,0.753,0.561,2,0
cam20-p2p-2,00375,0.809,0.194,0.968,0.530,1,0
cam20-xfr-2,00084,0.513,0.236,0.697,0.799,2,0
20190416-cam20exp3,00293,0.735,0.261,0.895,0.588,2,0
cam20-p2p-1,00231,0.549,0.004,0.673,0.210,1,0
pGP_oIdKmRY,1446,0.521,0.221,0.863,0.997,3,204
20191024-cam20exp3,00114,0.461,0.110,0.599,0.528,2,0
fGgnNCbXZ20,1408,0.013,0.079,0.959,0.932,3,157
cam20-xfr-2,00750,0.751,0.232,0.870,0.610,2,0
X5wWhZ2r9kc,1721,0.227,0.449,0.373,0.688,3,318
J1jDc2rTJlg,1077,0.000,0.029,0.592,0.988,3,76
cam20-p2p-2,00898,0.807,0.205,0.940,0.501,1,0
CrlfWnsS7ac,1468,0.538,0.141,0.980,0.976,3,214
wEAeql4z1O0,1464,0.000,0.147,0.380,0.903,3,226
cam20-xfr-2,00786,0.691,0.168,0.808,0.577,2,0
cam20-p2p-2,00924,0.684,0.115,0.801,0.440,1,0
20191024-cam20exp2,00363,0.499,0.142,0.673,0.544,3,0
cam20-p2p-2,00919,0.763,0.225,0.914,0.526,1,0
C3qk4yAMANk,1293,0.369,0.073,0.786,0.976,3,156
cam20-xfr-2,00224,0.496,0.038,0.645,0.521,2,0
20190416-cam20exp3,00104,0.659,0.170,0.823,0.592,3,0
ri4P2enZT9o,1661,0.284,0.176,0.471,0.868,3,148
cam20-p2p-2,00853,0.527,0.060,0.685,0.417,1,0
cam20-p2p-2,01003,0.674,0.122,0.815,0.464,1,0
20191024-cam20exp1,00165,0.852,0.261,0.991,0.673,2,0
20190416-cam20exp3,00345,0.686,0.152,0.842,0.567,3,0
cam20-p2p-1,00009,0.730,0.022,0.842,0.375,1,0
cam20-xfr-2,00504,0.816,0.241,0.961,0.614,2,0
cam20-p2p-2,01109,0.507,0.053,0.645,0.428,1,0
yo-Kg2YxlZs,0974,0.018,0.072,0.760,0.986,3,41
cam20-p2p-2,00295,0.634,0.152,0.790,0.515,1,0
-ZFgsrolSxo,1528,0.351,0.106,0.869,0.993,3,158
20191024-cam20exp3,00086,0.446,0.015,0.639,0.364,3,0
cam20-p2p-2,00805,0.643,0.104,0.786,0.461,1,0
kMy-6RtoOVU,1433,0.188,0.000,0.724,0.990,3,224
20190416-cam20exp2,00215,0.393,0.208,0.760,0.479,2,0
cam20-p2p-2,01021,0.550,0.075,0.687,0.461,1,0
20191024-cam20exp3,00107,0.501,0.084,0.708,0.543,2,0
D8Vhxbho1fY,1290,0.489,0.119,0.947,0.980,3,262
20191024-cam20exp1,00367,0.814,0.269,0.972,0.632,3,0
20191024-cam20exp2,00018,0.544,0.000,0.659,0.418,3,0
t1LXrJOvPDg,1465,0.132,0.019,0.735,0.971,3,280
TM5MPJIq1Is,1749,0.228,0.230,0.476,0.827,3,319
oWhvucAskhk,1415,0.627,0.078,0.913,0.988,3,542
20191024-cam20exp3,00138,0.885,0.344,0.997,0.631,2,0
20190416-cam20exp1,00251,0.826,0.340,0.981,0.689,3,0
pieVIsGmLsc,0925,0.733,0.176,0.931,0.736,3,16
HV0H6oc4Kvs,0948,0.408,0.242,0.586,0.998,3,11
cam20-p2p-2,01151,0.517,0.066,0.663,0.391,1,0
cam20-xfr-2,00732,0.696,0.152,0.861,0.596,2,0
cam20-p2p-1,00284,0.732,0.035,0.852,0.409,1,0
